username,repo_name,stars,repo_url
ovity,octotree,22000,https://github.com/ovity/octotree
gitpod-io,gitpod,8200,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5200,https://github.com/reviewdog/reviewdog
danger,danger,4800,https://github.com/danger/danger
danger,danger-js,4400,https://github.com/danger/danger-js
joho,awesome-code-review,3400,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1800,https://github.com/mbj/mutant
crev-dev,cargo-crev,1600,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1200,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1200,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1000,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,841,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,796,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,661,https://github.com/enlightn/enlightn
palantir,policy-bot,485,https://github.com/palantir/policy-bot
bsamseth,cpp-project,471,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,442,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,440,https://github.com/mookid/diffr
mgreiler,code-review-checklist,435,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,350,https://github.com/JetBrains/Qodana
dpnishant,raptor,330,https://github.com/dpnishant/raptor
sjparkinson,static-review,327,https://github.com/sjparkinson/static-review
wandersoncferreira,code-review,323,https://github.com/wandersoncferreira/code-review
burrito-brothers,shiba,290,https://github.com/burrito-brothers/shiba
charignon,github-review,283,https://github.com/charignon/github-review
erikthedeveloper,code-review-emoji-guide,228,https://github.com/erikthedeveloper/code-review-emoji-guide
