username,repo_name,stars,repo_url
ansible,ansible,53400,https://github.com/ansible/ansible
trailofbits,algo,25600,https://github.com/trailofbits/algo
bregman-arie,devops-exercises,25300,https://github.com/bregman-arie/devops-exercises
StreisandEffect,streisand,22800,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,13500,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12400,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11100,https://github.com/ansible/awx
easzlab,kubeasz,8200,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5800,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5800,https://github.com/khuedoan/homelab
curlconverter,curlconverter,5600,https://github.com/curlconverter/curlconverter
ansible-semaphore,semaphore,5000,https://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,4800,https://github.com/Tikam02/DevOps-Guide
rundeck,rundeck,4600,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4300,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3700,https://github.com/clong/DetectionLab
ansible-community,molecule,3400,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3200,https://github.com/opendevops-cn/opendevops
werf,werf,3200,https://github.com/werf/werf
netbootxyz,netboot.xyz,3100,https://github.com/netbootxyz/netboot.xyz
litmuschaos,litmus,3000,https://github.com/litmuschaos/litmus
welliamcao,OpsManage,2900,https://github.com/welliamcao/OpsManage
ansible,ansible-lint,2800,https://github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2700,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2300,https://github.com/roots/trellis
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2100,https://github.com/fboender/ansible-cmdb
openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
pytest-dev,pytest-testinfra,2100,https://github.com/pytest-dev/pytest-testinfra
