username,repo_name,stars,repo_url
bitcoin,bitcoin,64500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,24700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,17600,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17500,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,9100,https://github.com/bbfamily/abu
solana-labs,solana,8800,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6900,https://github.com/dvf/blockchain
lightningnetwork,lnd,6100,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5700,https://github.com/spesmilo/electrum
butor,blackbird,5600,https://github.com/butor/blackbird
btcsuite,btcd,4800,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4600,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4300,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,4000,https://github.com/bisq-network/bisq
jesse-ai,jesse,4000,https://github.com/jesse-ai/jesse
coinpride,CryptoList,3700,https://github.com/coinpride/CryptoList
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
RomelTorres,alpha_vantage,3700,https://github.com/RomelTorres/alpha_vantage
btcpayserver,btcpayserver,3600,https://github.com/btcpayserver/btcpayserver
Zheaoli,awesome-coins,3600,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3500,https://github.com/bitpay/wallet
Jeiwan,blockchain_go,3400,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
cointop-sh,cointop,3200,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2900,https://github.com/bitcoin-wallet/bitcoin-wallet
ctubio,Krypto-trading-bot,2800,https://github.com/ctubio/Krypto-trading-bot
lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
bcoin-org,bcoin,2700,https://github.com/bcoin-org/bcoin
